Device time,"Ambient air temperature (℃)","Average speed (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Distance travelled (km)","Distance travelled (total) (km)","Engine RPM (rpm)","Fuel level input (L)","Instant engine power (based on acceleration) (kW)","Intake manifold absolute pressure (kPa)","Vehicle acceleration (m_sec2)","Vehicle speed (km/h)",
18-09-2020 18:18:01.002,,,,0.105882352941177,,,,,,110.588235294118,,,
18-09-2020 18:18:01.047,,16.2850330182078,,,0.0414174164166667,13.9019179859722,,,10.8581651401129,,1.71066865692701,23,
18-09-2020 18:18:01.092,,,,,,,1487,,,,,,
18-09-2020 18:18:01.137,,,,0.117647058823529,,,,,,111.764705882353,,,
18-09-2020 18:18:01.345,,16.5289321356929,,,0.0434102384166667,13.9039108079722,,,10.6107454320586,,1.36884135176642,24,
18-09-2020 18:18:01.550,,,,,,,1637,,,,,,
18-09-2020 18:18:01.750,,,,0.258823529411765,,,,,,125.882352941176,,,
18-09-2020 18:18:01.953,,17.2219283291238,,,0.0481384164166667,13.9086389859722,,,15.9763627288934,,1.64905275724024,28,
18-09-2020 18:18:02.026,,,,,,,1915,,,,,,
18-09-2020 18:18:02.070,,,,0.4,,,,,,140,,,
18-09-2020 18:18:02.114,,17.4378225190207,,,0.0495177355833333,13.9100183051389,,,21.7437208672917,,2.03513688249266,31,
18-09-2020 18:18:02.160,,,,,,,2004,,,,,,
18-09-2020 18:18:02.205,,,,0.458823529411765,,,,,,145.882352941176,,,
18-09-2020 18:18:02.268,,17.6537975428395,,,0.0508857258055556,13.9113862953611,,,23.3533324231774,,2.04770966949802,32,
18-09-2020 18:18:02.315,,,,,,,2079,,,,,,
18-09-2020 18:18:02.361,,,,0.541176470588235,,,,,,154.117647058824,,,
18-09-2020 18:18:02.407,,17.8566079250769,,,0.0521596532222222,13.9126602227778,,,26.4690420076641,,2.35603650951872,33,
18-09-2020 18:18:02.453,,,,,,,2181,,,,,,
18-09-2020 18:18:02.497,,,,0.6,,,,,,160,,,
18-09-2020 18:18:02.543,,18.0756412144741,,,0.0534827640555556,13.9139833336111,,,34.8890657542645,,3.2995614731965,35,
18-09-2020 18:18:02.592,,,,,,,2279,,,,,,
18-09-2020 18:18:02.639,,,,0.705882352941177,,,,,,170.588235294118,,,
18-09-2020 18:18:02.690,,18.3335691643356,,,0.0549954926111111,13.9154960621667,,,36.9351506455577,,2.89263214773019,37,
18-09-2020 18:18:02.736,,,,,,,2360,,,,,,
18-09-2020 18:18:02.786,,,,0.741176470588235,,,,,,174.117647058824,,,
18-09-2020 18:18:02.831,,18.5878715151181,,,0.0564887986666667,13.9169893682222,,,39.4858688822169,,2.9561221022687,38,
18-09-2020 18:18:02.877,,,,,,,2469,,,,,,
18-09-2020 18:18:02.920,,,,0.788235294117647,,,,,,178.823529411765,,,
18-09-2020 18:18:02.967,,18.8503248683029,,,0.0579972731111111,13.9184978426667,,,47.1811465444852,,3.46888651617051,40,
18-09-2020 18:18:03.013,,,,,,,2563,,,,,,
18-09-2020 18:18:03.058,,,,0.788235294117647,,,,,,178.823529411765,,,
18-09-2020 18:18:03.109,,19.1312063061054,,,0.0596175509722222,13.9201181205278,,,46.6113425491449,,2.94157600582338,41,
18-09-2020 18:18:03.158,,,,,,,2659,,,,,,
18-09-2020 18:18:03.176,,,,0.811764705882353,,,,,,181.176470588235,,,
18-09-2020 18:18:03.220,,19.3546285033161,,,0.0609087954722222,13.9214093650278,,,47.2490563236767,,2.61982289200824,42,
18-09-2020 18:18:03.268,,,,,,,2733,,,,,,
18-09-2020 18:18:03.315,,,,0.858823529411765,,,,,,185.882352941176,,,
18-09-2020 18:18:03.361,,19.6585470547446,,,0.0626376899166667,13.9231382594722,,,56.0453785512975,,3.14365049245914,44,
18-09-2020 18:18:03.410,,,,,,,2838,,,,,,
18-09-2020 18:18:03.456,,,,0.91764705882353,,,,,,191.764705882353,,,
18-09-2020 18:18:03.515,,20.0071170613222,,,0.0646032405277778,13.9251038100833,,,61.3906421201356,,3.04041101492264,46,
18-09-2020 18:18:03.559,,,,,,,2955,,,,,,
18-09-2020 18:18:03.603,,,,0.988235294117647,,,,,,198.823529411765,,,
18-09-2020 18:18:03.650,,20.315542657,,,0.0663573431944444,13.92685791275,,,64.8660505052882,,3.08405416931433,47,
18-09-2020 18:18:03.695,,,,,,,3075,,,,,,
18-09-2020 18:18:03.738,,,,1.05882352941176,,,,,,205.882352941176,,,
18-09-2020 18:18:03.786,,20.6451546803361,,,0.0682178459722222,13.9287184155278,,,74.0830405999542,,3.4332184087994,49,
18-09-2020 18:18:03.834,,,,,,,3189,,,,,,
18-09-2020 18:18:03.880,,,,1.14117647058824,,,,,,214.117647058824,,,
18-09-2020 18:18:03.924,,20.993421982816,,,0.0701737214722222,13.9306742910278,,,81.5664530066547,,3.45489714692225,51,
18-09-2020 18:18:04.016,,,,,,,3292,,,,,,
18-09-2020 18:18:04.063,,,,1.17647058823529,,,,,,217.647058823529,,,
18-09-2020 18:18:04.109,,21.4920782259448,,,0.0729425654722222,13.9334431350278,,,95.7944911274069,,3.74243352450994,54,
18-09-2020 18:18:04.154,,,,,,,3481,,,,,,
18-09-2020 18:18:04.202,,,,1.2,,,,,,220,,,
18-09-2020 18:18:04.248,,21.8697461503386,,,0.0750704818611111,13.9355710514167,,,99.8516515052903,,3.71206389026189,55,
18-09-2020 18:18:04.293,,,,,,,3575,,,,,,
18-09-2020 18:18:04.339,,,,1.21176470588235,,,,,,221.176470588235,,,
18-09-2020 18:18:04.383,,22.2483229509004,,,0.0772019667777778,13.9377025363333,,,108.971329301888,,3.72506009406634,57,
18-09-2020 18:18:04.428,,,,,,,3699,,,,,,
18-09-2020 18:18:04.454,,,,1.23529411764706,,,,,,223.529411764706,,,
18-09-2020 18:18:04.498,,22.5743134430342,,,0.0790539808888889,13.9395545504444,,,110.861961633814,,3.38980989055098,58,
18-09-2020 18:18:04.542,,,,,,,3799,,,,,,
18-09-2020 18:18:04.587,,,,1.24705882352941,,,,,,224.705882352941,,,
18-09-2020 18:18:04.633,,22.9708810808257,,,0.0813042958888889,13.9418048654444,,,118.833990870281,,3.18174847260165,60,
18-09-2020 18:18:04.679,,,,,,,3892,,,,,,
18-09-2020 18:18:04.723,,,,1.27058823529412,,,,,,227.058823529412,,,
